"","age","sum.assured","salary","gender","occ","claim","location","occ.desc"
"1",50.3663794424848,162000,81000,"M",1,"N","site1","job1"
"2",38.5573562228795,50000,25000,"M",1,"N","site2","job1"
"3",40.587274490352,137000,68500,"M",1,"N","site2","job1"
"4",44.6031221855005,81000,40500,"F",7,"N","site1","job7"
"5",42.103687743658,58000,29000,"F",12,"N","site2","job12"
"6",34.1577057835622,64000,32000,"M",2,"N","site3","job2"
"7",37.111525492501,120000,60000,"F",2,"N","site1","job2"
"8",47.2697617916297,277000,138500,"F",1,"N","site1","job1"
"9",35.9020189648964,37000,18500,"M",5,"N","site2","job5"
"10",40.765823936497,96000,48000,"F",2,"N","site1","job2"
"11",41.530433471413,82000,41000,"M",1,"N","site2","job1"
"12",35.0475070599478,30000,15000,"M",7,"N","site3","job7"
"13",39.2928589174279,73000,36500,"M",2,"N","site2","job2"
"14",40.1585752860169,47000,23500,"M",3,"N","site3","job3"
"15",39.2432938910162,48000,24000,"F",12,"N","site2","job12"
"16",28.1954095968517,30000,15000,"F",12,"N","site3","job12"
"17",40.9094475670501,36000,18000,"M",4,"N","site3","job4"
"18",38.0779785246338,41000,20500,"M",7,"N","site2","job7"
"19",33.7745328691581,107000,53500,"F",3,"N","site2","job3"
"20",45.4999977552974,79000,39500,"M",5,"N","site2","job5"
"21",29.6115313904387,71000,35500,"F",1,"N","site2","job1"
"22",30.7833262051312,20000,10000,"F",12,"N","site3","job12"
"23",38.2603768402463,37000,18500,"F",12,"N","site3","job12"
"24",35.7192157111762,31000,15500,"F",8,"N","site2","job8"
"25",32.8312409371173,109000,54500,"F",1,"N","site1","job1"
"26",39.5028819168433,138000,69000,"M",1,"N","site1","job1"
"27",33.288363088677,59000,29500,"F",5,"N","site2","job5"
"28",36.3427778376259,53000,26500,"M",12,"N","site3","job12"
"29",40.7192477948077,42000,21000,"F",8,"N","site2","job8"
"30",49.5626432631119,86000,43000,"F",11,"N","site2","job11"
"31",44.2363604927803,173000,86500,"F",6,"N","site1","job6"
"32",49.0701286622622,67000,33500,"M",12,"N","site3","job12"
